Dosen,Matakuliah,Program Studi,Kelas,Periode,Hari,Waktu,Ruang
"Yuwinti Nearti, S.P., M.Si",METODE RISET BISNIS - 3 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,SABTU,14:50 - 16:20,KAMPUS B RK404
"Guttifera, S.Pi., M.Si",SANITASI DAN HYGIENE HASIL PERIKANAN - 3 SKS,ILMU PERIKANAN,N/A,2025/2026 GENAP REGULER,SENIN,08:20 - 10:00,KAMPUS B RK405
"The Best Akbar Esa Putra, S.Pi., M.Si",BAHASA INGGRIS PERIKANAN - 2 SKS,ILMU PERIKANAN,N/A,2025/2026 GENAP REGULER,SENIN,10:20 - 12:00,KAMPUS B RK405
"Rizki Eka Puteri, S.Pt., M.Si",MANAJEMEN PEMBERIAN PAKAN - 3 SKS,ILMU PERIKANAN,N/A,2025/2026 GENAP REGULER,SENIN,12:30 - 14:10,KAMPUS B RK405
"Budi Fachrudin, S.P., M.Si",EKONOMI MAKRO - 3 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,SENIN,16:00 - 17:40,KAMPUS B RK405
"Ismail, S.P., M.Si",PERLINDUNGAN TANAMAN TERPADU - 2 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,SENIN,18:15 - 19:55,KAMPUS B RK405
"Serly Oktarina, S.Kom., M.Kom",STATISTIKA & PROBABILITAS - 3 SKS,ILMU KOMPUTER,N/A,2025/2026 GENAP REGULER,SELASA,10:00 - 12:15,KAMPUS B RK405
"Nirmala Jayanti, S.P., M.Si",KOPERASI DAN KELEMBAGAAN AGRIBISNIS - 3 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,SELASA,16:00 - 17:40,KAMPUS B RK405
"Yuwinti Nearti, S.P., M.Si",USAHATANI - 3 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,SELASA,18:15 - 19:55,KAMPUS B RK405
"Ubaidillah, M.Kom",SISTEM KEAMANAN KOMPUTER - 2 SKS,ILMU KOMPUTER,N/A,2025/2026 GENAP REGULER,RABU,09:00 - 10:30,KAMPUS B RK405
"Doris Saputra, S. P., M. Si",EKONOMI SUMBER DAYA ALAM DAN LINGKUNGAN - 2 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,RABU,16:00 - 17:40,KAMPUS B RK405
"Yuwinti Nearti, S.P., M.Si",EKONOMI PRODUKSI - 3 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,RABU,18:15 - 19:55,KAMPUS B RK405
"Budi Fachrudin, S.P., M.Si",MANAJEMEN PERUSAHAAN PERKEBUNAN - 2 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,KAMIS,08:30 - 10:10,KAMPUS B RK405
"Nirmala Jayanti, S.P., M.Si",SOSIOLOGI PEDESAAN DALAM AGRIBISNIS - 3 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,KAMIS,10:20 - 12:00,KAMPUS B RK405
"Guttifera, S.Pi., M.Si",PENGOLAHAN LIMBAH HASIL PERIKANAN - 3 SKS,ILMU PERIKANAN,N/A,2025/2026 GENAP REGULER,KAMIS,14:20 - 16:00,KAMPUS B RK405
"Budi Fachrudin, S.P., M.Si",MANAJEMEN RESIKO AGRIBISNIS - 3 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,KAMIS,18:15 - 19:55,KAMPUS B RK405
"Dr.Hadi Syaputra,s.kom.,M.Kom",KOMUNIKASI DATA - 3 SKS,ILMU KOMPUTER,N/A,2025/2026 GENAP REGULER,JUMAT,14:00 - 15:30,KAMPUS B RK405
"Diah Triesia, S.Kom., M.Kom",DATA WAREHOUSE - 3 SKS,ILMU KOMPUTER,N/A,2025/2026 GENAP REGULER,JUMAT,15:45 - 17:15,KAMPUS B RK405
"Budi Fachrudin, S.P., M.Si",EKONOMI MAKRO - 3 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,SABTU,08:30 - 10:00,KAMPUS B RK405
"Yuwinti Nearti, S.P., M.Si",EKONOMI PRODUKSI - 3 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,SABTU,10:20 - 11:50,KAMPUS B RK405
"Budi Fachrudin, S.P., M.Si",MANAJEMEN RESIKO AGRIBISNIS - 3 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,SABTU,13:00 - 14:30,KAMPUS B RK405
"Ismail, S.P., M.Si",MEKANISASI PERTANIAN - 3 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,SABTU,14:50 - 16:20,KAMPUS B RK405
"DR. Ir. Elmeizy Arafah, M.S.",KEPEMIMPINAN BISNIS - 2 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,SENIN,08:30 - 10:10,KAMPUS B RK406
"Doris Saputra, S. P., M. Si",STRATEGI DAN KEBIJAKAN BISNIS - 3 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,SENIN,10:20 - 12:00,KAMPUS B RK406
"Yuwinti Nearti, S.P., M.Si",RISET OPERASIONAL AGRIBISNIS - 3 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,SELASA,08:30 - 10:10,KAMPUS B RK406
"DR. Ir. Elmeizy Arafah, M.S.",TEKNOLOGI PANEN DAN PASCA PANEN - 3 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,SELASA,13:00 - 14:00,KAMPUS B RK406
"DR. Ir. Elmeizy Arafah, M.S.",KEWIRAUSAHAAN PRODUK PERIKANAN - 3 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,RABU,08:30 - 10:10,KAMPUS B RK406
"Budi Fachrudin, S.P., M.Si",MANAJEMEN RANTAI PASOK DAN RANTAI NILAI - 2 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,RABU,10:20 - 12:00,KAMPUS B RK406
"Diah Triesia, S.Kom., M.Kom",SISTEM INFORMASI - 3 SKS,ILMU KOMPUTER,N/A,2025/2026 GENAP REGULER,KAMIS,08:00 - 10:15,KAMPUS B RK406
"Nirmala Jayanti, S.P., M.Si",PEMBERDAYAAN MASYARAKAT DALAM AGRIBISNIS - 3 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,KAMIS,08:30 - 10:10,KAMPUS B RK406
"Yuwinti Nearti, S.P., M.Si",METODE RISET BISNIS - 3 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,KAMIS,10:20 - 12:00,KAMPUS B RK406
"Ismail, S.P., M.Si",MEKANISASI PERTANIAN - 3 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,KAMIS,16:00 - 17:40,KAMPUS B RK406
"Serly Oktarina, S.Kom., M.Kom",STATISTIKA & PROBABILITAS - 3 SKS,ILMU KOMPUTER,N/A,2025/2026 GENAP REGULER,SABTU,08:00 - 09:30,KAMPUS B RK406
"Ubaidillah, M.Kom",MOBILE APPLICATION PROGRAMMING - 4 SKS,ILMU KOMPUTER,N/A,2025/2026 GENAP REGULER,JUMAT,15:45 - 17:45,KAMPUS B RK4A
"Ismail, S.P., M.Si",STRATEGI DAN KEBIJAKAN BISNIS - 3 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,JUMAT,15:00 - 16:30,KAMPUS B RK4C
"DR. Ir. Elmeizy Arafah, M.S.",KEWIRAUSAHAAN PRODUK PERIKANAN - 3 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,JUMAT,13:30 - 15:00,KAMPUS B RK4D
"DR. Ir. Elmeizy Arafah, M.S.",TEKNOLOGI PANEN DAN PASCA PANEN - 3 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,JUMAT,16:50 - 18:20,KAMPUS B RK4D
"Ismail, S.P., M.Si",PERLINDUNGAN TANAMAN TERPADU - 2 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,JUMAT,15:00 - 16:30,KAMPUS B RK4E
"Yuwinti Nearti, S.P., M.Si",USAHATANI - 3 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,JUMAT,16:50 - 18:20,KAMPUS B RK4E
Tim Pembimbing,SEMINAR - 1 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,SENIN,08:30 - 12:00,KAMPUS B RUANG BIMBINGAN
Tim Pembimbing,SKRIPSI - 6 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,SENIN,12:01 - 17:00,KAMPUS B RUANG BIMBINGAN
Tim Pembimbing,SKRIPSI - 6 SKS,ILMU KOMPUTER,N/A,2025/2026 GENAP REGULER,SELASA,08:00 - 12:00,KAMPUS B RUANG BIMBINGAN
Tim Pembimbing,SKRIPSI - 6 SKS,ILMU KOMPUTER,N/A,2025/2026 GENAP REGULER,SELASA,12:01 - 17:00,KAMPUS B RUANG BIMBINGAN
Tim Pembimbing,SKRIPSI - 6 SKS,ILMU KOMPUTER,N/A,2025/2026 GENAP REGULER,JUMAT,08:30 - 16:00,KAMPUS B RUANG BIMBINGAN
Tim Pembimbing,SEMINAR - 1 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,SABTU,08:30 - 12:00,KAMPUS B RUANG BIMBINGAN
Tim Pembimbing,SKRIPSI - 6 SKS,AGRIBISNIS,N/A,2025/2026 GENAP REGULER,SABTU,12:02 - 17:00,KAMPUS B RUANG BIMBINGAN
